Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tyler Tolbert","KCR",24,102.823,93.9828,20.708,14.8871,4.15451,0.534946,1.13149,11.7319,6.64381,5.48881,0.106421,27.131,1.10863,0.601556,1.64088,1.46653,5.90583,1.30831,0.220338,0.0533814,0.263862,0.202308,0.269865,0.312045,0.257363,0.581911,0.0917069,7.20843,0.295175,,0.504261,7.49998,-4.64931,58.8148,0.504261,0,-4.486917316913605,0.2222222089767456,-0.0742488,999,,,,,,,76.9,3.204166666,76.9,3.204166666,,,,,,,,,,,,,,,,,,,"Tyler Tolbert","25779",686475
"Carlos Cortes","ATH",39,164.759,150.711,33.6625,20.936,7.74093,0.320857,4.66463,16.8248,18.0591,11.3683,0.152191,38.2,1.00958,1.44149,0.228556,2.60825,0.576352,0.187585,0.223357,0.0689997,0.231854,0.2976,0.279829,0.37183,0.283871,0.651659,0.148473,2.91326,0.265334,,-0.180472,15.5636,-3.90395,77.2723,-0.180472,0,-4.593908846378326,-1.8055555820465088,-0.0745575,738.0599975585938,,,,,,,147.5,3.782051282,147.5,3.782051282,,,,,,,,,,,,,,,,,,,"Carlos Cortes","21842",666126
"Justin Dean","SFG",10,41.1523,37.3494,7.54205,5.65469,1.28842,0.179178,0.419763,4.30454,2.54498,3.00634,0.000210288,12.9571,0.474724,0.228483,0.0933217,0.628996,1.8372,0.268913,0.201932,0.0730541,0.314857,0.232023,0.26847,0.27974,0.247534,0.54821,0.0778075,6.48301,0.294297,,0.197005,2.6733,-2.18916,57.5475,0.197005,0,-1.8735700845718384,-0.2572016417980194,-0.0779239,999,,,,,,,23.5,2.35,23.5,2.35,,,,,,,,,,,,,,,,,,,"Justin Dean","25005",681909
"Tirso Ornelas","SDP",29,132.316,120.868,28.1995,19.1827,6.01152,0.234819,2.77045,13.5479,13.4057,9.48878,0.373016,26.6436,0.708185,0.952246,0.29859,2.76634,1.29685,0.257131,0.233309,0.0717132,0.201364,0.356137,0.290845,0.355694,0.283221,0.646539,0.122386,3.79667,0.275188,,-0.0374217,12.4291,-3.20498,83.3395,-0.0374217,0,-2.6501457281410694,-2.53600811958313,-0.0802109,999,,,,,,,113.3,3.906896551,113.3,3.906896551,,,,,,,,,,,,,,,,,,,"Tirso Ornelas","22566",672359
"T.J. Rumfield","NYY",10,41.7131,37.9534,8.48352,5.779,1.70981,0.0870479,0.907664,4.04234,4.0806,2.95627,0.112922,8.39007,0.45492,0.291779,0.0567721,0.813685,0.317655,0.0785658,0.223525,0.0708714,0.201138,0.352353,0.285544,0.344908,0.277346,0.630452,0.121383,3.47597,0.261711,,-0.0285682,3.71935,-1.20937,76.7251,-0.0285682,0,-1.1728498544543982,-1.080246925354004,-0.0836302,999,,,,,,,31,3.1,31,3.1,,,,,,,,,,,,,,,,,,,"T.J. Rumfield","sa3017330",681198
"Ildemaro Vargas","ARI",15,62.2571,57.4662,13.8443,10.2577,2.74291,0.257573,0.586195,5.96528,5.52301,3.13236,0.108615,8.27204,0.400258,0.441313,0.816956,1.58841,0.801522,0.270995,0.240913,0.0503133,0.132869,0.378668,0.282827,0.32821,0.268503,0.611038,0.0872973,4.28002,0.270303,,-0.0409945,5.10421,-2.25194,68.5344,-0.0409945,0,-2.3627604097127914,-0.540123462677002,-0.0850806,999,,,,,,,50.4,3.36,50.4,3.36,,,,,,,,,,,,,,,,,,,"Ildemaro Vargas","13324",545121
"Matt Mervis","WSN",11,47.3569,42.8245,8.62177,5.29119,1.75817,0.0233108,1.5491,4.25965,5.6959,3.5913,0.128708,14.2433,0.566409,0.332998,0.0416605,0.673238,0.150844,0.0533781,0.201328,0.0758348,0.300766,0.252139,0.270092,0.351992,0.272675,0.622084,0.150664,2.06639,0.258456,,-0.0532193,4.043,-1.55258,72.3965,-0.0532193,0,-1.6025421656668186,-0.8487654328346252,-0.0895984,743.5599975585938,,,,,,,47,4.272727272,47,4.272727272,,,,,,,,,,,,,,,,,,,"Matt Mervis","27845",670223
"Kris Bryant","COL",32,135.69,120.674,29.7818,19.978,6.01908,0.21086,3.57392,14.806,15.6335,11.5614,0.0305221,32.759,2.22743,1.07436,0.152721,2.39625,0.147006,0.0600198,0.246796,0.0852043,0.241425,0.352922,0.321466,0.389018,0.312619,0.710484,0.142222,2.32867,0.306828,,-0.217894,15.9848,-0.048046,86.0863,-0.217894,0,-2.4555070400238037,-2.9629628658294678,-0.0924938,999,,,,,,,144,4.5,144,4.5,,,,,,,,,,,,,,,,,,,"Kris Bryant","15429",592178
"Ryan Vilade","TBR",34,144.45,132.273,29.5097,20.9459,5.83376,0.400307,2.32976,13.9854,13.2209,9.67076,0.480908,36.7356,1.07817,1.00906,0.419203,2.57448,2.79306,0.85356,0.223097,0.0669489,0.254314,0.263253,0.279514,0.326094,0.26681,0.605608,0.102997,4.63089,0.288484,,0.00299931,11.6443,-5.42362,67.4569,0.00299931,0,-5.537491790018976,-0.4247501492500305,-0.101342,999,,,,,,,108.1,3.179411764,108.1,3.179411764,,,,,,,,,,,,,,,,,,,"Ryan Vilade","22165",668723
"Jake Mangum","PIT",91,412.472,387.732,102.419,80.3641,17.8567,2.97821,1.21992,45.2607,32.048,17.226,0.315822,69.5569,3.88694,2.77135,0.856387,8.38087,15.6343,3.9573,0.264149,0.0417627,0.168634,0.247653,0.300114,0.335004,0.279537,0.635118,0.0708553,6.1753,0.316517,,0.838441,37.5121,-11.2247,75.1937,0.838441,0,-11.288513541221619,-3.5108025074005127,-0.110115,394.05999755859375,,,,,,,344.1,3.781318681,344.1,3.781318681,,,,,,,,,,,,,,,,,,,"Jake Mangum","26202",663968
"Jacob Melton","TBR",42,178.843,165.056,35.3495,23.4641,7.09719,0.732868,4.05532,20.1083,16.1353,11.2637,0.202024,50.8233,1.1676,0.994787,0.360484,2.38233,8.11717,1.71775,0.214167,0.0629812,0.284179,0.221625,0.267706,0.339753,0.266467,0.60746,0.125587,6.41261,0.281492,,0.684348,14.367,-6.7647,67.221,0.684348,0,-6.225049316883087,-1.0470085144042969,-0.11424,541.5,,,,,,,140.2,3.338095238,140.2,3.338095238,,,,,,,,,,,,,,,,,,,"Jacob Melton","31661",689200
"Jorbit Vivas","NYY",16,69.5218,62.27,13.6083,9.75122,2.56492,0.237098,1.05502,6.99843,5.68791,5.26407,0.133933,11.7953,1.38509,0.49769,0.104944,1.28805,1.35898,0.411824,0.218536,0.0757182,0.169663,0.446286,0.291823,0.31817,0.272631,0.609992,0.0996336,4.74124,0.25148,,-0.00423868,5.93277,-2.28177,73.477,-0.00423868,0,-2.177519876975566,-1.3333333730697632,-0.114388,999,,,,,,,54.4,3.4,54.4,3.4,,,,,,,,,,,,,,,,,,,"Jorbit Vivas","23917",678391
"Adam Frazier",,86,371,337.326,78.3716,57.8725,14.6245,1.71542,4.15918,36.4712,30.4842,24.1755,1.03632,67.0934,3.9818,2.54523,2.97191,6.57466,5.95975,2.08495,0.232332,0.065163,0.180845,0.360326,0.289459,0.322847,0.270971,0.612305,0.0905146,4.70388,0.276275,,-0.222972,31.1601,-12.6764,70.8513,-0.222972,0,-13.004354059696198,-0.6761006712913513,-0.115021,741.719970703125,,,,,,,282.1,3.280232558,282.1,3.280232558,,,,,,,,,,,,,,,,,,,"Adam Frazier","15223",624428
"Garrett Stubbs","PHI",63,246.741,220.106,43.753,32.4351,7.62106,1.16826,2.52856,23.6156,16.8688,20.9553,0.246832,62.512,2.54579,1.3034,1.66904,3.95678,5.02276,1.25327,0.198781,0.0849283,0.253351,0.33522,0.274607,0.278485,0.250643,0.553091,0.0797036,5.13614,0.263636,,0.123673,16.6512,-12.5031,55.6728,0.123673,-1.36,-12.839306078851223,3.501111149787903,-0.115519,999,,,,,,,162.2,2.574603174,162.2,2.574603174,,,,,,,,,,,,,,,,,,,"Garrett Stubbs","18067",596117
"Cody Freeman","TEX",52,218.12,202.43,44.7583,31.9526,8.81678,0.667452,3.32145,20.4427,19.1575,11.7439,0.249069,41.5847,1.86569,1.52143,0.559492,4.29308,2.6314,0.842558,0.221105,0.0538413,0.19065,0.282408,0.268283,0.320478,0.259323,0.588761,0.0993729,4.2362,0.260535,,-0.117904,16.2569,-9.51564,64.5868,-0.117904,0,-9.221924655139446,0.5015431642532349,-0.124109,726.6099853515625,,,,,,,154.9,2.978846153,154.9,2.978846153,,,,,,,,,,,,,,,,,,,"Cody Freeman","25629",683227
