Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cal Quantrill",,5,6,7,4.87697,16,16,0,0,,85,371,91,49,46,13,28,,4,63,6.74684,3.00257,2.24702,1.408,0.17092,0.0760651,0.09485486894845963,0.267848,1.40565,0.295705,0.696425,,,4.82041,0.510259,0.396036,999,,,,,,,262.5,3.088235294117647,286,3.364705882352941,,,,,,,,,,,,,,,,,,,"Cal Quantrill","19312",615698
"Richard Fitts","STL",6,7,6,4.42776,40,16,0,1,,111,478,116,59,55,16,34,,5,83,6.76081,2.76815,2.44236,1.268,0.174379,0.0713979,0.10298112034797668,0.264366,1.35437,0.295318,0.712389,,,4.50895,0.508865,0.708829,555.7999877929688,,,,,,,376.0000000000001,3.3873873873873883,400,3.6036036036036037,,,,,,,,,,,,,,,,,,,"Richard Fitts","30160",690916
"Spencer Turnbull",,4,5,6,4.78392,13,13,0,0,,72,316,75,41,38,10,29,,4,54,6.76142,3.65384,1.85049,1.247,0.170388,0.092077,0.0783110186457634,0.265972,1.45652,0.298036,0.700432,,,4.81192,0.494901,0.384694,999,,,,,,,223.80000000000007,3.1083333333333343,239,3.3194444444444446,,,,,,,,,,,,,,,,,,,"Spencer Turnbull","16207",605513
"Clayton Beeter","WSN",3,3,0,3.77741,63,0,17,9,,63,269,53,29,26,7,32,,2,70,10.0535,4.52049,2.22398,1.002,0.261167,0.117432,0.14373472332954407,0.223998,1.33905,0.289338,0.748209,,,3.97297,0.4918,0.752489,417.92999267578125,,,,,,,401.3,6.36984126984127,383,6.079365079365079,,,,,,,,,,,,,,,,,,,"Clayton Beeter","27494",690925
"Kyle Finnegan","DET",3,3,0,3.78817,64,0,4,13,,64,271,60,29,27,7,23,,2,62,8.74945,3.21777,2.71911,0.997,0.229818,0.0845199,0.14529860019683838,0.241911,1.28726,0.296685,0.733119,,,3.79149,0.491223,0.479681,292.8699951171875,,,,,,,352.5,5.5078125,350,5.46875,,,,,,,,,,,,,,,,,,,"Kyle Finnegan","15009",640448
"Taijuan Walker","PHI",6,8,6,4.81321,50,16,0,1,,121,531,131,70,65,20,42,,5,87,6.47248,3.12129,2.07366,1.475,0.164427,0.0792933,0.08513378351926804,0.269821,1.42222,0.293793,0.711675,,,4.9917,0.485496,0.518647,743.530029296875,,,,,,,345.80000000000007,2.8578512396694222,382,3.15702479338843,,,,,,,,,,,,,,,,,,,"Taijuan Walker","11836",592836
"Sean Sullivan","COL",4,6,6,5.20711,15,15,0,0,,83,364,94,51,48,15,24,,4,61,6.62712,2.65258,2.49837,1.65,0.168108,0.0672871,0.10082083195447922,0.279776,1.4255,0.303469,0.693602,,,5.0613,0.483105,0.750217,999,,,,,,,223.30000000000004,2.690361445783133,258,3.108433734939759,,,,,,,,,,,,,,,,,,,"Sean Sullivan","sa3023162",807743
"Keider Montero","DET",5,5,4,4.39919,44,10,0,1,,87,378,88,46,43,12,30,,4,73,7.57165,3.04884,2.48346,1.287,0.194455,0.0783002,0.11615484952926636,0.256723,1.35185,0.293757,0.717477,,,4.45205,0.481908,0.39339,732.4000244140625,,,,,,,315.40000000000003,3.6252873563218393,327,3.7586206896551726,,,,,,,,,,,,,,,,,,,"Keider Montero","22630",672456
"Luke Weaver","NYM",3,3,0,3.71536,67,0,4,14,,67,281,60,30,28,9,21,,3,71,9.55566,2.84315,3.36094,1.236,0.253119,0.0753121,0.177807055413723,0.232091,1.20725,0.285455,0.75317,,,3.85932,0.475638,0.632512,437.6000061035156,,,,,,,375.0999999999999,5.598507462686566,364,5.432835820895522,,,,,,,,,,,,,,,,,,,"Luke Weaver","16918",596133
"Graham Ashcraft","CIN",3,3,0,3.982,65,0,2,16,,65,276,66,31,29,8,19,,3,57,7.93793,2.67909,2.96292,1.08,0.207621,0.0700731,0.13754770159721375,0.258151,1.30546,0.305935,0.724601,,,3.96381,0.474349,0.595484,722.27001953125,,,,,,,333,5.123076923076923,343,5.276923076923077,,,,,,,,,,,,,,,,,,,"Graham Ashcraft","27552",668933
