Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ethan Lindow",,0.0499,0.07,0.0618,4.96611,0.229,0.164,0,0,,1,4.409,1.09,0.5896,0.55179,0.162667,0.364,0.0055,0.04,0.6752,6.0768,3.276,1.85495,1.464,0.153141,0.0825584,0.07058290392160416,0.27216,1.454,0.292799,0.704904,0.389006,,5.1114,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ethan Lindow","sa3005028",676600
"Isaac Coffey","BOS",0.0482,0.0714,0.0572,5.15124,0.2406,0.1616,0,0,,1,4.457,1.0418,0.6094,0.57236,0.159556,0.4239,0.0059,0.08,0.8013,7.2117,3.8151,1.8903,1.436,0.179785,0.0951088,0.08467578887939453,0.26354,1.4657,0.294844,0.689274,0.388204,,5.11846,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Isaac Coffey","sa3020222",806190
"Juan Nuñez","BAL",0.0503,0.0653,0.0466,5.03928,0.3816,0.1316,0,0,,1,4.447,1.0257,0.5972,0.55992,0.163556,0.4671,0.0098,0.0437,0.8372,7.5348,4.2039,1.79234,1.472,0.188262,0.105037,0.08322464674711227,0.260581,1.4928,0.293701,0.708644,0.389892,,5.11936,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Juan Nunez","sa3015464",693725
"Caden Scarborough","TEX",0.0497,0.0715,0.0644,5.05323,0.1829,0.1739,0,0,,1,4.45,1.0587,0.6006,0.56147,0.156556,0.4388,0.0042,0.0478,0.7553,6.7977,3.9492,1.72129,1.409,0.16973,0.0986068,0.07112358510494232,0.267119,1.4975,0.295635,0.701623,0.413819,,5.11956,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Caden Scarborough","sa3025060",807291
"Aaron Shortridge",,0.0439,0.0744,0.0527,5.15754,0.2925,0.1505,0,0,,1,4.42,1.1132,0.6103,0.57306,0.164333,0.3542,0.0072,0.0363,0.6616,5.9544,3.1878,1.86787,1.479,0.149683,0.0801357,0.06954750418663025,0.276263,1.4674,0.296191,0.692699,0.380443,,5.11977,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Aaron Shortridge","sa3006759",663336
"Eric Silva","DET",0.0459,0.0675,0.0404,5.0184,0.4616,0.1146,0,0,,1,4.467,1.065,0.5968,0.5576,0.149333,0.4379,0.012,0.048,0.7071,6.3639,3.9411,1.61475,1.344,0.158294,0.09803,0.06026415526866913,0.267514,1.5029,0.293045,0.700322,0.407902,,5.11997,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Eric Silva","sa3017965",696150
"Luis Palacios",,0.0484,0.0649,0.0425,4.84317,0.4624,0.1144,0,0,,1,4.397,1.1069,0.5782,0.53813,0.154444,0.34,0.0118,0.0423,0.5839,5.2551,3.06,1.71735,1.39,0.132795,0.0773255,0.05546962469816208,0.275712,1.4469,0.290706,0.705871,0.420011,,5.12201,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Luis Palacios","sa3003021",672712
"Marcelo Perez","SEA",0.0498,0.0716,0.0683,4.88538,0.1754,0.1754,0,0,,1,4.371,1.1014,0.5825,0.54282,0.165889,0.2981,0.004,0.0473,0.6006,5.4054,2.6829,2.01476,1.493,0.137406,0.0681995,0.0692061334848404,0.273599,1.3995,0.287045,0.699932,0.414959,,5.12669,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Marcelo Perez","sa3020889",681041
"Ian Mejia","ATL",0.0519,0.0676,0.0582,5.12082,0.2356,0.1626,0,0,,1,4.431,1.1045,0.6085,0.56898,0.160333,0.3748,0.0057,0.0476,0.6796,6.1164,3.3732,1.81323,1.443,0.153374,0.0845859,0.0687880739569664,0.275533,1.4793,0.29797,0.693957,0.418585,,5.12747,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ian Mejia","sa3019911",681256
"Wyatt Crowell","LAD",0.0555,0.0642,0.0644,4.81599,0.2282,0.1642,0,0,,1,4.511,1.0096,0.5779,0.53511,0.134222,0.5623,0.0056,0.0633,0.8133,7.3197,5.0607,1.44638,1.208,0.180293,0.124651,0.05564176291227341,0.259845,1.5719,0.297963,0.718214,0.474722,,5.13023,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Wyatt Crowell","sa3023662",694573
"Evan McKendry","MIA",0.0452,0.0736,0.0557,5.067,0.2752,0.1542,0,0,,1,4.385,1.1263,0.602,0.563,0.166,0.2937,0.0067,0.0522,0.6001,5.4009,2.6433,2.04324,1.494,0.136853,0.0669783,0.06987455487251282,0.278849,1.42,0.293401,0.688784,0.40959,,5.13064,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Evan McKendry","sa3010787",679928
"Dominic Perachi","PIT",0.0464,0.0746,0.0655,4.94811,0.1928,0.1718,0,0,,1,4.478,1.0848,0.5911,0.54979,0.138222,0.4443,0.0046,0.0532,0.6463,5.8167,3.9987,1.45465,1.244,0.144328,0.0992184,0.04510942101478577,0.272529,1.5291,0.296178,0.702312,0.430647,,5.13193,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Dominic Perachi","sa3020841",806270
"Koyo Aoyagi",,0.0462,0.0688,0.0435,5.1138,0.408,0.126,0,0,,1,4.522,1.129,0.6131,0.5682,0.129,0.4521,0.0106,0.0644,0.614,5.526,4.0689,1.35811,1.161,0.135781,0.0999779,0.03580274432897568,0.281862,1.5811,0.306513,0.691182,0.494505,,5.13364,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Koyo Aoyagi","sa3066034",829460
