Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Matt Brash","SEA",2.35699,1.64043,0,3.47902,63,0,0,12.3151,,41.4427,175.632,33.632,17.14,16.02,3.36785,18.7519,0.94781,2.18142,48.53,10.5391,4.07229,2.58801,0.731386,0.276317,0.106768,0.16954872757196426,0.217404,1.26401,0.294396,0.739347,,,3.3649,0.531825,0.454122,475.5,,,,,,,261.1,6.36829268292683,249,6.073170731707317,,,,,,,,,,,,,,,,,,,"Matt Brash","25756",666374
"Janson Junk","MIA",3.11099,3.74165,1.32717,4.57307,55,5,0,4.2752,,73.1521,314.099,76.5893,39.96,37.17,9.71981,19.9785,1.4533,2.66092,53.0382,6.52536,2.45798,2.65477,1.19584,0.168859,0.0636058,0.10525275766849518,0.262779,1.3201,0.292388,0.68235,,,4.34083,0.530837,0.0549979,581.8300170898438,,,,,,,270.00000000000006,3.698630136986302,288,3.9452054794520546,,,,,,,,,,,,,,,,,,,"Janson Junk","23301",676083
"Tanner Gordon","COL",5.51138,11.3566,8.10696,5.87035,26,26,0,0,,124.904,552.412,150.67,87.05,81.47,25.0161,32.014,0.414859,4.12457,90.0257,6.48683,2.30678,2.81207,1.80254,0.162968,0.057953,0.10501519590616226,0.291842,1.4626,0.313171,0.647658,,,5.16529,0.530336,-0.802652,999,,,,,,,296.9,2.3752,372,2.976,,,,,,,,,,,,,,,,,,,"Tanner Gordon","27669",685299
"Brant Hurter","DET",2.10483,1.31017,0,3.35913,55,0,0,9.2384,,38.6618,161.16,34.1727,15.51,14.43,2.80174,11.537,1.19004,2.21955,36.1213,8.40861,2.68567,3.13091,0.652211,0.224134,0.0715873,0.15254641324281693,0.231832,1.1823,0.289187,0.722701,,,3.27609,0.523063,0.449746,999,,,,,,,229.30000000000004,5.879487179487181,222,5.6923076923076925,,,,,,,,,,,,,,,,,,,"Brant Hurter","30133",676428
"Ryan Bergert","KCR",3.27219,3.94578,2.17004,4.71772,32,8,0,0.6688,,61.0845,265.624,59.6323,34.2,32.02,8.48524,23.9708,0.793793,2.38168,55.1669,8.12811,3.53178,2.30142,1.25019,0.207688,0.0902433,0.1174447312951088,0.249225,1.36865,0.291239,0.688797,,,4.42895,0.520735,0.16646,604.1699829101562,,,,,,,233.0000000000001,3.819672131147543,237,3.8852459016393444,,,,,,,,,,,,,,,,,,,"Ryan Bergert","29863",686701
"AJ Blubaugh","HOU",2.07086,1.74212,0.528073,4.033,46,2,0,0.6635,,63.9796,269.992,54.4713,30.7,28.67,8.8032,24.0917,1.53024,3.03426,67.6419,9.51517,3.38898,2.80768,1.23834,0.250533,0.0892311,0.16130155324935913,0.224285,1.22794,0.274412,0.722586,,,4.08131,0.519067,0.368453,554.3900146484375,,,,,,,281.5,4.3984375,262,4.09375,,,,,,,,,,,,,,,,,,,"AJ Blubaugh","31764",805123
"Aaron Bummer","ATL",2.38284,1.51166,0,3.78103,61,0,0,13.1733,,40.3462,172.313,37.7861,18.24,16.95,2.29977,15.222,1.00176,2.35249,39.6242,8.83895,3.39557,2.60308,0.513008,0.229955,0.0883395,0.14161524921655655,0.244193,1.31383,0.314554,0.698317,,,3.21872,0.516999,0.297308,999,,,,,,,253.59999999999997,6.339999999999999,255,6.375,,,,,,,,,,,,,,,,,,,"Aaron Bummer","16258",607481
"Phil Maton","CHC",2.68386,1.77152,0,3.67982,65,0,0,14.1687,,45.2957,190.457,37.356,19.83,18.52,4.64334,17.0283,0.93741,3.41692,51.6698,10.2665,3.38342,3.03435,0.922605,0.271293,0.0894073,0.18188592046499252,0.219726,1.20065,0.287713,0.721631,,,3.54046,0.516584,0.360233,421.3299865722656,,,,,,,275.3,6.117777777777778,260,5.777777777777778,,,,,,,,,,,,,,,,,,,"Phil Maton","18064",664208
"Dylan Lee","ATL",2.61867,1.6119,0,3.78072,65,0,0,16.2635,,42.9918,177.356,38.2507,19.44,18.06,5.82918,10.8857,0.896344,1.08246,47.284,9.89853,2.27884,4.34366,1.22029,0.266605,0.061378,0.20522747933864594,0.231279,1.14292,0.288771,0.724735,,,3.53326,0.512494,0.355624,713.6099853515625,,,,,,,267.59999999999997,6.223255813953488,259,6.023255813953488,,,,,,,,,,,,,,,,,,,"Dylan Lee","19996",669276
"Chris Martin","TEX",2.07328,1.42893,0,3.63002,54,0,0,12.3147,,37.7602,153.64,34.994,16.3,15.23,4.309,6.17709,0.877607,1.45648,36.0772,8.59888,1.47229,5.84049,1.02704,0.234817,0.040205,0.19461175426840782,0.239674,1.09033,0.290522,0.707802,,,3.31425,0.51067,0.395833,633.4400024414062,,,,,,,240,6.315789473684211,237,6.2368421052631575,,,,,,,,,,,,,,,,,,,"Chris Martin","11847",455119
