Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mark Canha",,44,189,167,40,28,8,0,4,20,18,17,0,40,4,1,0,,2,1,0.237998,0.0880001,0.212441,0.414233,0.319573,0.356825,0.300681,0.676398,0.118827,3.65974,0.28879,-0.34459,-0.165483,20.433,-1.89884,91.2602,-0.510074,-1.12107,-2.4623767137527466,-3.1460673809051514,0.0806356,999,,,,,,,181.8,4.131818181,181.8,4.131818181,,,,,,,,,,,,,,,,,,,"Mark Canha","11445",592192
"LuJames Groover","ARI",5,21,19,5,3,1,0,0,2,2,2,0,4,0,0,0,,0,0,0.261623,0.0867003,0.180713,0.479768,0.332114,0.385968,0.316299,0.718081,0.124344,3.24652,0.304769,-0.00144214,-0.0264436,2.53662,0.0553118,101.276,-0.0278857,0,0.003873787820339203,0.07500000298023224,0.079553,999,,,,,,,17.9,3.58,17.9,3.58,,,,,,,,,,,,,,,,,,,"LuJames Groover","sa3022887",694410
"Maximo Acosta","MIA",16,70,64,14,10,3,0,2,7,7,5,0,17,1,1,0,,3,1,0.227074,0.0723996,0.249583,0.290082,0.288538,0.351488,0.282014,0.640027,0.124415,5.46896,0.286274,0.0106633,0.0675204,6.5069,-1.76414,77.4331,0.0781837,-0.213266,-1.794068269431591,0.23673421144485474,0.0789426,723.27001953125,,,,,,,62.8,3.925,62.8,3.925,,,,,,,,,,,,,,,,,,,"Maximo Acosta","27963",691185
"Nicky Lopez","COL",28,119,106,27,21,4,1,1,12,9,10,0,18,1,1,1,,2,1,0.254133,0.0832001,0.150901,0.551358,0.322915,0.324188,0.290429,0.647103,0.0700555,4.98264,0.298929,0.168643,-0.0257614,11.8747,-2.18603,70.8857,0.142882,0.295878,-3.963395416736603,0.7708780765533447,0.0784371,999,,,,,,,105.9,3.782142857,105.9,3.782142857,,,,,,,,,,,,,,,,,,,"Nicky Lopez","19339",670032
"Blaine Crim","COL",52,224,200,50,32,10,1,7,26,27,19,1,51,2,2,1,,1,0,0.249512,0.0851999,0.227178,0.375036,0.320092,0.417615,0.319992,0.737707,0.168102,3.46455,0.296689,-0.133951,-0.249816,27.7288,1.2615,91.1367,-0.383767,0.14931,-2.7368505001068115,-3.9506896436214447,0.0782685,680.469970703125,,,,,,,245.4,4.719230769,245.4,4.719230769,,,,,,,,,,,,,,,,,,,"Blaine Crim","25714",688760
"Enrique Bradfield Jr.","BAL",10,42,37,9,6,2,0,1,5,4,4,0,9,0,0,0,,3,1,0.228395,0.090399,0.219896,0.411099,0.304475,0.323002,0.280553,0.627477,0.0946073,6.02836,0.287059,-0.00321057,0.178093,3.85431,-1.10831,79.2508,0.174883,0,-0.8522418588399887,0.15000000596046448,0.076052,999,,,,,,,43.5,4.35,43.5,4.35,,,,,,,,,,,,,,,,,,,"Enrique Bradfield Jr.","sa3022917",690961
"Drew Millas","WSN",5,19,17,4,3,1,0,0,2,2,2,0,3,0,0,0,,0,0,0.243995,0.0808992,0.170593,0.474224,0.308869,0.363202,0.294737,0.672071,0.119207,4.99348,0.280649,0.00617489,0.00196558,1.98307,-0.285555,87.5095,0.00814047,-0.0515785,-0.27609348576515913,0.32342152297496796,0.0759809,747.8699951171875,,,,,,,14.3,2.86,14.3,2.86,,,,,,,,,,,,,,,,,,,"Drew Millas","25643",686452
"Nelson Rada","LAA",31,133,117,27,21,4,1,1,13,10,13,0,32,2,1,0,,6,2,0.233148,0.0966,0.242437,0.398453,0.315026,0.305063,0.281235,0.620089,0.0719152,5.5281,0.310075,-0.0309771,0.20234,12.2789,-3.43604,77.0979,0.171363,0,-3.4186735451221466,-0.42500001192092896,0.0750943,999,,,,,,,111.7,3.603225806,111.7,3.603225806,,,,,,,,,,,,,,,,,,,"Nelson Rada","sa3018421",703185
"Kevin Alcántara","CHC",15,63,57,13,9,3,0,2,7,7,5,0,19,0,0,0,,1,0,0.228488,0.0749997,0.302356,0.248051,0.289507,0.365443,0.287461,0.65495,0.136955,3.91634,0.308084,0.00254302,-0.00940088,6.13479,-1.30914,84.2973,-0.00685786,-0.108502,-1.1793440422043204,-0.18350231647491455,0.0750134,697.1300048828125,,,,,,,60.2,4.013333333,60.2,4.013333333,,,,,,,,,,,,,,,,,,,"Kevin Alcantara","25971",682634
"Denzer Guzman","LAA",8,35,32,7,4,1,0,1,3,3,3,0,11,0,0,0,,0,0,0.213409,0.0757005,0.304496,0.248609,0.277903,0.344967,0.274686,0.62287,0.131559,3.84004,0.288191,0.0026087,-0.0193225,3.04521,-1.09031,72.5868,-0.0167138,0.539348,-1.1475525237619877,0.6643478274345398,0.0738122,999,,,,,,,28.5,3.5625,28.5,3.5625,,,,,,,,,,,,,,,,,,,"Denzer Guzman","28816",694203
