player_name,mlbid,final_adp,week,x1b,x2b,x3b,hr,bb,hbp,r,rbi,sb,ud_points,week_rank,rank_group
Gunnar Henderson,683002,12.24,2025-08-11,1,3,0,0,4,0,1,5,0,45,51,Unusable
Mookie Betts,605141,16.08,2025-03-24,2,0,0,2,1,0,4,4,0,45,14,IF2
Freddie Freeman,518692,26.39,2025-09-01,3,0,1,1,2,0,3,1,1,45,65,Unusable
Bryce Harper,547180,27.32,2025-04-28,4,1,0,1,3,0,3,1,0,45,64,Unusable
Trea Turner,607208,35.91,2025-04-07,4,1,0,1,1,0,3,2,1,45,44,IF4
Manny Machado,592518,45.54,2025-08-04,4,2,0,0,3,0,4,0,1,45,52,Unusable
William Contreras,661388,61.55,2025-05-12,3,2,0,0,4,0,6,0,0,45,53,Unusable
William Contreras,661388,61.55,2025-09-15,3,2,0,0,4,0,4,2,0,45,47,IF4
Jose Altuve,514888,81.09,2025-07-28,6,0,0,1,1,0,3,4,0,45,58,Unusable
Mark Vientos,668901,83.69,2025-09-01,2,1,0,1,2,1,4,3,0,45,65,Unusable
Bo Bichette,666182,84.67,2025-08-11,4,2,0,0,3,0,3,3,0,45,51,Unusable
Eugenio Suarez,553993,104.99,2025-08-11,3,1,0,1,1,1,3,2,1,45,51,Unusable
Paul Goldschmidt,502671,117.94,2025-03-24,3,1,0,1,1,1,5,2,0,45,14,IF2
Isaac Paredes,670623,121.15,2025-04-21,4,2,0,1,1,0,2,2,0,45,42,IF4
Isaac Paredes,670623,121.15,2025-06-09,1,2,0,1,2,0,3,4,0,45,55,Unusable
Michael Toglia,669911,138.78,2025-06-30,3,1,0,1,4,0,2,2,0,45,45,IF4
Cal Raleigh,663728,152.19,2025-04-21,1,2,0,1,4,0,3,1,0,45,42,IF4
Xavier Edwards,669364,165.36,2025-09-22,7,0,0,0,3,1,1,3,1,45,42,IF4
Masyn Winn,691026,166.08,2025-05-19,5,0,0,1,1,1,5,2,0,45,60,Unusable
Nathaniel Lowe,663993,192.46,2025-09-15,4,1,0,0,4,1,3,3,0,45,47,IF4
Salvador Perez,521692,194.19,2025-06-02,4,1,0,1,1,0,2,5,0,45,53,Unusable
Salvador Perez,521692,194.19,2025-08-18,4,2,0,0,2,1,2,4,0,45,58,Unusable
Josh Jung,673962,208.9,2025-05-05,2,1,0,2,1,0,2,3,0,45,51,Unusable
Xander Bogaerts,593428,211.87,2025-05-05,4,0,0,1,3,0,2,5,0,45,51,Unusable
Nico Hoerner,663538,212.11,2025-04-14,6,1,1,0,0,1,3,2,0,45,60,Unusable
Will Smith,669257,215.77,2025-08-25,0,0,0,2,5,0,3,2,0,45,56,Unusable
Shea Langeliers,669127,226.05,2025-08-25,2,2,0,1,1,0,3,4,0,45,56,Unusable
Matt Shaw,807713,227.33,2025-09-15,2,2,0,1,3,0,2,2,0,45,47,IF4
Jake Cronenworth,630105,229.63,2025-07-28,2,0,0,1,3,2,4,3,0,45,58,Unusable
Yainer Diaz,673237,234.25,2025-08-18,6,0,0,1,3,0,2,2,0,45,58,Unusable
Austin Wells,669224,234.46,2025-06-09,1,2,0,1,0,0,3,7,0,45,55,Unusable
Colt Keith,690993,235.65,2025-06-16,1,0,0,2,2,0,3,5,0,45,58,Unusable
Joey Ortiz,687401,237.06,2025-05-26,2,2,0,0,3,0,6,1,1,45,55,Unusable
Josh Bell,605137,238,2025-07-07,2,3,0,0,5,0,3,0,0,45,52,Unusable
Trevor Story,596115,238.76,2025-05-26,3,1,0,1,2,0,2,5,0,45,55,Unusable
Coby Mayo,691723,239.19,2025-06-23,3,1,0,1,0,0,4,6,0,45,54,Unusable
Jonathan Aranda,666018,239.63,2025-09-22,2,0,0,2,1,0,3,5,0,45,42,IF4
Ryan O'Hearn,656811,239.89,2025-07-07,2,2,0,0,5,0,2,4,0,45,52,Unusable
Ke'Bryan Hayes,663647,240,2025-06-09,5,0,0,1,0,0,3,1,3,45,55,Unusable
Brayan Rocchio,677587,NA,2025-07-21,4,2,0,0,2,1,2,4,0,45,62,Unusable
Yoan Moncada,660162,NA,2025-05-12,2,1,0,1,3,0,4,3,0,45,53,Unusable
Joey Bart,663698,NA,2025-04-07,2,1,1,1,0,1,2,4,0,45,44,IF4
Isaac Collins,686555,NA,2025-05-19,4,1,0,0,3,0,5,2,1,45,60,Unusable
Ivan Herrera,671056,NA,2025-08-04,2,1,0,1,2,1,2,3,1,45,52,Unusable
Gabriel Arias,672356,NA,2025-04-28,4,1,0,0,3,0,5,2,1,45,64,Unusable
Ernie Clement,676391,NA,2025-07-28,7,1,0,0,1,1,5,1,0,45,58,Unusable
Ernie Clement,676391,NA,2025-09-15,3,3,0,0,2,0,5,1,0,45,47,IF4
Zach McKinstry,656716,NA,2025-07-28,0,2,0,1,1,0,3,5,1,45,58,Unusable
Rowdy Tellez,642133,NA,2025-05-05,1,1,0,2,0,0,3,5,0,45,51,Unusable
Rowdy Tellez,642133,NA,2025-06-09,1,2,0,2,0,0,3,2,0,45,55,Unusable
Lenyn Sosa,672820,NA,2025-06-30,3,2,0,1,0,0,2,5,0,45,45,IF4
Jose Caballero,676609,NA,2025-07-21,5,0,0,0,4,0,4,3,1,45,62,Unusable
Jose Caballero,676609,NA,2025-08-18,0,0,0,2,3,0,2,4,1,45,58,Unusable
Gunnar Henderson,683002,12.24,2025-09-08,2,2,0,0,4,0,2,1,2,44,47,IF4
Mookie Betts,605141,16.08,2025-07-28,3,1,0,0,3,0,4,2,2,44,62,Unusable
Francisco Lindor,596019,17.8,2025-06-16,1,1,0,2,1,0,2,4,0,44,59,Unusable
Matt Olson,621566,21.79,2025-08-18,5,3,0,0,1,0,4,0,0,44,61,Unusable
Freddie Freeman,518692,26.39,2025-09-15,5,0,0,1,2,1,2,3,0,44,51,Unusable
Pete Alonso,624413,29.95,2025-09-08,5,1,0,1,1,0,1,4,0,44,47,IF4
Austin Riley,663586,30.75,2025-05-05,6,1,0,0,2,0,4,1,1,44,54,Unusable
Rafael Devers,646240,35.39,2025-06-09,2,0,0,1,5,1,4,1,0,44,59,Unusable
Rafael Devers,646240,35.39,2025-06-16,3,1,0,1,3,0,2,3,0,44,59,Unusable
Junior Caminero,691406,65.87,2025-07-28,3,0,0,2,1,0,2,4,0,44,62,Unusable
CJ Abrams,682928,79.08,2025-06-30,5,0,0,0,3,0,6,0,2,44,47,IF4
CJ Abrams,682928,79.08,2025-07-07,4,2,1,0,0,0,2,2,1,44,54,Unusable
Bo Bichette,666182,84.67,2025-06-02,3,0,1,1,1,0,2,5,0,44,54,Unusable
Josh Naylor,647304,89.6,2025-05-05,5,1,0,0,2,1,4,3,0,44,54,Unusable
Matt McLain,680574,91.6,2025-07-14,2,1,0,1,2,0,3,3,1,44,11,IF1
Paul Goldschmidt,502671,117.94,2025-04-07,7,2,0,0,1,0,1,3,0,44,47,IF4
Paul Goldschmidt,502671,117.94,2025-05-26,2,2,0,1,2,0,2,1,1,44,57,Unusable
Dansby Swanson,621020,124.49,2025-07-07,4,1,0,1,0,0,3,5,0,44,54,Unusable
Jackson Holliday,702616,135.54,2025-07-07,4,1,0,1,1,1,3,2,0,44,54,Unusable
Alec Bohm,664761,148.29,2025-05-05,6,0,0,1,2,0,3,2,0,44,54,Unusable
Cal Raleigh,663728,152.19,2025-05-05,3,0,0,0,7,0,5,2,0,44,54,Unusable
Masyn Winn,691026,166.08,2025-07-28,3,3,0,0,0,1,2,5,0,44,62,Unusable
Rhys Hoskins,656555,172.72,2025-04-21,7,1,0,0,4,1,0,1,0,44,44,IF4
Salvador Perez,521692,194.19,2025-03-31,3,2,0,1,1,0,3,2,0,44,52,Unusable
Salvador Perez,521692,194.19,2025-06-09,4,1,0,1,1,1,2,3,0,44,59,Unusable
Josh Jung,673962,208.9,2025-06-09,3,2,0,0,2,1,3,4,0,44,59,Unusable
Nico Hoerner,663538,212.11,2025-05-05,4,3,0,0,0,0,4,1,1,44,54,Unusable
Nico Hoerner,663538,212.11,2025-08-11,6,1,0,0,2,0,0,1,3,44,54,Unusable
Shea Langeliers,669127,226.05,2025-04-14,1,1,0,2,1,0,3,3,0,44,61,Unusable
Michael Busch,683737,226.9,2025-03-31,2,1,0,1,1,1,4,4,0,44,52,Unusable
Michael Busch,683737,226.9,2025-05-05,2,1,0,1,4,0,3,2,0,44,54,Unusable
Nolan Arenado,571448,227.39,2025-03-24,2,2,0,1,2,0,3,2,0,44,16,IF2
Jake Cronenworth,630105,229.63,2025-05-05,2,0,0,1,3,1,4,4,0,44,54,Unusable
Jake Cronenworth,630105,229.63,2025-09-15,4,0,0,1,1,1,3,3,1,44,51,Unusable
Yainer Diaz,673237,234.25,2025-05-26,3,0,0,2,1,0,4,2,0,44,57,Unusable
Ryan Mountcastle,663624,234.73,2025-05-05,5,3,0,0,1,0,0,4,0,44,54,Unusable
Kyle Manzardo,700932,237.05,2025-07-07,1,0,0,2,3,0,2,4,0,44,54,Unusable
Kyle Manzardo,700932,237.05,2025-09-08,4,1,0,1,2,0,1,4,0,44,47,IF4
Connor Norby,681393,237.78,2025-05-05,4,2,0,0,2,0,1,2,2,44,54,Unusable
Connor Norby,681393,237.78,2025-09-22,2,1,0,1,1,1,4,2,1,44,44,IF4
Spencer Torkelson,679529,237.98,2025-06-02,4,1,0,1,2,0,2,3,0,44,54,Unusable
Jacob Wilson,805779,238.09,2025-04-21,4,0,0,1,2,0,4,4,0,44,44,IF4
Tyler Soderstrom,691016,238.1,2025-08-25,5,2,0,0,1,0,3,4,0,44,58,Unusable
Ben Rice,700250,239.01,2025-06-16,3,1,1,1,1,0,2,2,0,44,59,Unusable
Ben Rice,700250,239.01,2025-07-28,2,1,0,1,4,0,2,3,0,44,62,Unusable
Thairo Estrada,642731,239.19,2025-06-09,6,2,0,0,0,0,3,4,0,44,59,Unusable
Thairo Estrada,642731,239.19,2025-06-23,7,0,0,0,3,0,0,5,1,44,55,Unusable
Thairo Estrada,642731,239.19,2025-06-30,5,0,0,1,1,0,3,5,0,44,47,IF4
Nolan Schanuel,694384,239.52,2025-08-11,4,1,0,0,5,1,3,1,0,44,54,Unusable
Jonathan Aranda,666018,239.63,2025-03-31,2,2,0,1,2,0,3,2,0,44,52,Unusable
Jonathan Aranda,666018,239.63,2025-04-28,4,1,0,1,2,0,1,4,0,44,66,Unusable
Miguel Rojas,500743,239.78,2025-09-01,4,2,0,0,2,0,4,1,1,44,67,Unusable
Bo Naylor,666310,239.8,2025-05-19,1,1,1,1,1,0,3,4,0,44,62,Unusable
Elias Diaz,553869,239.91,2025-04-28,4,0,0,2,0,0,4,2,0,44,66,Unusable
Brooks Lee,686797,239.95,2025-05-05,4,1,0,1,0,0,4,4,0,44,54,Unusable
Jorge Polanco,593871,239.99,2025-07-21,2,1,0,1,4,0,4,1,0,44,64,Unusable
Ke'Bryan Hayes,663647,240,2025-08-11,4,1,0,1,2,0,3,2,0,44,54,Unusable
Gabriel Moreno,672515,NA,2025-09-01,3,2,0,0,3,0,4,3,0,44,67,Unusable
Brayan Rocchio,677587,NA,2025-08-11,5,0,0,1,0,1,1,3,2,44,54,Unusable
Brayan Rocchio,677587,NA,2025-09-15,4,1,1,0,2,0,4,0,1,44,51,Unusable
Isaac Collins,686555,NA,2025-06-30,4,1,0,1,1,1,3,2,0,44,47,IF4
Isaac Collins,686555,NA,2025-07-14,4,0,0,1,2,0,3,3,1,44,11,IF1
Kyle Higashioka,543309,NA,2025-06-30,3,1,0,1,1,0,1,5,1,44,47,IF4
Rowdy Tellez,642133,NA,2025-05-12,0,1,0,2,2,0,3,3,0,44,55,Unusable
Edmundo Sosa,624641,NA,2025-03-31,4,3,0,0,0,0,2,5,0,44,52,Unusable
Agustin Ramirez,682663,NA,2025-06-09,4,0,0,2,0,0,4,2,0,44,59,Unusable
Agustin Ramirez,682663,NA,2025-09-08,5,1,0,1,1,0,2,3,0,44,47,IF4
Ramon Urias,602104,NA,2025-07-28,3,0,0,2,1,0,2,4,0,44,62,Unusable
Gunnar Henderson,683002,12.24,2025-06-23,3,0,1,1,2,0,3,2,0,43,56,Unusable
Francisco Lindor,596019,17.8,2025-06-09,3,2,0,0,4,0,5,0,0,43,64,Unusable
Freddie Freeman,518692,26.39,2025-04-21,4,2,0,0,1,0,3,5,0,43,46,IF4
Pete Alonso,624413,29.95,2025-05-05,2,2,0,1,1,0,3,3,0,43,64,Unusable
Austin Riley,663586,30.75,2025-06-23,4,1,1,0,3,0,2,2,0,43,56,Unusable
Trea Turner,607208,35.91,2025-05-26,4,1,0,0,2,1,2,2,2,43,59,Unusable
Manny Machado,592518,45.54,2025-09-15,5,0,0,1,0,0,2,5,1,43,54,Unusable
Oneil Cruz,665833,50.09,2025-07-07,4,1,0,1,1,0,2,2,1,43,58,Unusable
Ozzie Albies,645277,58.95,2025-04-14,3,1,0,1,2,0,3,3,0,43,62,Unusable
Willy Adames,642715,76.34,2025-09-15,1,1,0,0,8,0,2,1,1,43,54,Unusable
Mark Vientos,668901,83.69,2025-07-28,5,1,0,1,0,0,2,4,0,43,67,Unusable
Matt McLain,680574,91.6,2025-03-31,2,0,0,1,2,1,4,3,1,43,56,Unusable
Anthony Volpe,683011,135.32,2025-06-23,1,0,1,0,6,0,2,3,1,43,56,Unusable
Masyn Winn,691026,166.08,2025-08-11,3,1,0,1,2,0,2,4,0,43,58,Unusable
Luis Arraez,650333,168.81,2025-08-04,5,2,0,0,2,0,2,3,0,43,54,Unusable
Nathaniel Lowe,663993,192.46,2025-04-07,2,1,0,0,5,0,1,7,0,43,48,IF4
Nathaniel Lowe,663993,192.46,2025-06-09,3,0,0,1,4,0,2,4,0,43,64,Unusable
Josh Jung,673962,208.9,2025-05-19,6,1,0,0,4,1,2,0,0,43,63,Unusable
Xander Bogaerts,593428,211.87,2025-03-24,1,2,0,0,3,1,2,2,2,43,17,IF2
Nico Hoerner,663538,212.11,2025-06-09,6,2,0,0,1,0,2,1,1,43,64,Unusable
Kristian Campbell,692225,212.49,2025-03-24,3,2,0,1,2,0,2,1,0,43,17,IF2
Will Smith,669257,215.77,2025-06-09,3,0,0,1,2,0,4,5,0,43,64,Unusable
Shea Langeliers,669127,226.05,2025-08-18,0,1,0,2,1,0,2,5,0,43,62,Unusable
Jake Cronenworth,630105,229.63,2025-03-31,4,1,0,0,4,1,3,2,0,43,56,Unusable
Yainer Diaz,673237,234.25,2025-09-01,2,3,0,0,1,0,3,5,0,43,69,Unusable
Andrew Vaughn,683734,236.76,2025-09-01,6,3,0,0,0,1,1,1,0,43,69,Unusable
Kyle Manzardo,700932,237.05,2025-05-12,3,1,1,1,0,0,2,3,0,43,56,Unusable
Connor Norby,681393,237.78,2025-06-16,3,0,0,1,4,0,2,2,1,43,62,Unusable
Josh Bell,605137,238,2025-06-30,8,1,0,0,1,0,0,5,0,43,51,Unusable
Jacob Wilson,805779,238.09,2025-09-01,7,1,0,0,2,0,4,1,0,43,69,Unusable
Christopher Morel,666624,238.29,2025-06-02,1,1,0,2,0,0,3,4,0,43,56,Unusable
Ben Rice,700250,239.01,2025-09-08,2,4,0,0,1,0,3,2,0,43,51,Unusable
Francisco Alvarez,682626,239.35,2025-04-28,5,1,0,0,4,0,0,5,0,43,68,Unusable
Francisco Alvarez,682626,239.35,2025-09-08,2,2,0,1,2,1,2,1,0,43,51,Unusable
Brett Baty,683146,239.56,2025-07-21,3,1,0,1,2,0,4,2,0,43,65,Unusable
Adam Frazier,624428,239.6,2025-07-28,3,1,0,1,0,0,4,3,1,43,67,Unusable
Jonathan Aranda,666018,239.63,2025-07-28,4,1,0,1,1,0,3,3,0,43,67,Unusable
Maikel Garcia,672580,239.72,2025-09-01,2,1,0,1,3,0,3,3,0,43,69,Unusable
Maikel Garcia,672580,239.72,2025-09-08,5,1,0,0,2,0,3,3,1,43,51,Unusable
Jeff McNeil,643446,239.75,2025-06-30,4,0,0,1,0,3,3,3,0,43,51,Unusable
Casey Schmitt,669477,239.77,2025-09-01,3,1,0,1,1,1,3,3,0,43,69,Unusable
Bo Naylor,666310,239.8,2025-07-21,1,2,0,1,2,0,3,3,0,43,65,Unusable
Luis Rengifo,650859,239.81,2025-09-01,3,1,0,1,2,0,2,4,0,43,69,Unusable
Spencer Horwitz,687462,239.83,2025-08-04,7,1,0,0,2,0,3,2,0,43,54,Unusable
Caleb Durbin,702332,239.92,2025-06-30,4,0,0,0,4,1,2,2,2,43,51,Unusable
Caleb Durbin,702332,239.92,2025-07-28,6,0,0,0,2,1,4,2,1,43,67,Unusable
Nolan Gorman,669357,239.92,2025-04-21,1,3,0,0,2,0,3,5,0,43,46,IF4
Jorge Polanco,593871,239.99,2025-06-30,2,3,0,1,1,0,2,1,0,43,51,Unusable
Jorge Polanco,593871,239.99,2025-09-22,1,0,0,2,2,0,3,4,0,43,45,IF4
Ke'Bryan Hayes,663647,240,2025-09-01,6,1,0,0,3,0,2,3,0,43,69,Unusable
Gabriel Moreno,672515,NA,2025-05-12,4,3,0,0,1,0,4,1,0,43,56,Unusable
Brayan Rocchio,677587,NA,2025-09-22,2,1,0,1,1,0,3,4,1,43,45,IF4
Gabriel Arias,672356,NA,2025-08-04,3,0,1,1,0,0,2,6,0,43,54,Unusable
Lenyn Sosa,672820,NA,2025-04-21,5,1,0,1,0,0,4,2,0,43,46,IF4
Jose Caballero,676609,NA,2025-06-09,3,0,0,0,4,0,2,1,4,43,64,Unusable
Jose Tena,677588,NA,2025-04-21,5,2,1,0,0,0,2,2,0,43,46,IF4
Pedro Pages,686780,NA,2025-05-05,3,2,0,0,3,1,4,1,0,43,64,Unusable
Jose Ramirez,608070,8.37,2025-04-28,5,1,0,0,1,0,2,1,3,42,69,Unusable
Mookie Betts,605141,16.08,2025-08-18,9,0,0,0,3,0,3,0,0,42,63,Unusable
Austin Riley,663586,30.75,2025-06-09,7,1,0,0,1,0,5,1,0,42,69,Unusable
Austin Riley,663586,30.75,2025-07-07,2,2,0,1,0,0,4,3,0,42,59,Unusable
Ketel Marte,606466,37.6,2025-06-09,6,0,0,0,4,0,4,2,0,42,69,Unusable
Ketel Marte,606466,37.6,2025-07-28,5,1,0,1,1,0,1,3,0,42,71,Unusable
Oneil Cruz,665833,50.09,2025-06-02,3,1,0,0,2,1,1,2,3,42,57,Unusable
Marcus Semien,543760,65.54,2025-06-23,6,2,0,0,0,0,3,3,0,42,59,Unusable
Christian Walker,572233,74.01,2025-04-21,3,2,0,1,0,1,2,2,0,42,50,Unusable
Willy Adames,642715,76.34,2025-07-07,0,1,1,1,1,1,3,3,0,42,59,Unusable
Mark Vientos,668901,83.69,2025-09-08,3,1,0,1,3,0,2,2,0,42,54,Unusable
Matt McLain,680574,91.6,2025-05-12,3,2,0,1,1,0,3,1,0,42,58,Unusable
Matt Chapman,656305,93.14,2025-04-28,1,0,0,2,1,0,3,5,0,42,69,Unusable
Jordan Westburg,676059,108.66,2025-08-04,3,0,0,2,0,1,3,2,0,42,57,Unusable
Paul Goldschmidt,502671,117.94,2025-06-09,5,1,0,0,3,0,4,2,0,42,69,Unusable
Dansby Swanson,621020,124.49,2025-09-22,1,1,0,1,3,0,2,1,2,42,47,IF4
Vinnie Pasquantino,686469,131.56,2025-06-16,2,0,0,1,4,0,3,2,1,42,63,Unusable
Anthony Volpe,683011,135.32,2025-06-30,2,1,0,1,0,0,4,4,1,42,55,Unusable
Gleyber Torres,650402,147.51,2025-09-01,2,0,0,1,4,0,4,3,0,42,76,Unusable
Alec Bohm,664761,148.29,2025-05-12,4,1,0,1,2,0,2,2,0,42,58,Unusable
Alec Bohm,664761,148.29,2025-08-18,5,2,0,0,3,0,2,1,0,42,63,Unusable
Cal Raleigh,663728,152.19,2025-08-25,0,0,0,1,6,2,3,1,0,42,59,Unusable
Max Muncy,691777,161.48,2025-07-07,4,0,0,2,0,0,2,3,0,42,59,Unusable
Jonathan India,663697,164.42,2025-05-05,4,2,0,0,2,0,3,3,0,42,66,Unusable
Jonathan India,663697,164.42,2025-07-28,2,2,0,0,2,2,4,2,0,42,71,Unusable
Jonathan India,663697,164.42,2025-08-18,3,1,0,0,6,1,2,1,0,42,63,Unusable
Xavier Edwards,669364,165.36,2025-04-28,4,0,1,0,2,0,3,1,2,42,69,Unusable
Luis Arraez,650333,168.81,2025-08-11,2,3,0,0,2,0,0,2,2,42,59,Unusable
Rhys Hoskins,656555,172.72,2025-05-26,1,0,0,2,1,0,2,6,0,42,60,Unusable
Salvador Perez,521692,194.19,2025-05-26,4,1,0,1,1,1,2,2,0,42,60,Unusable
Josh Jung,673962,208.9,2025-04-21,4,1,0,1,2,0,1,1,1,42,50,Unusable
Xander Bogaerts,593428,211.87,2025-06-23,1,2,0,1,3,0,2,2,0,42,59,Unusable
Will Smith,669257,215.77,2025-08-11,2,0,0,1,4,0,4,3,0,42,59,Unusable
Nolan Arenado,571448,227.39,2025-05-19,1,0,1,1,1,0,2,7,0,42,64,Unusable
Jake Cronenworth,630105,229.63,2025-09-01,3,1,0,0,4,1,4,2,0,42,76,Unusable
Brice Turang,668930,230.59,2025-09-15,4,1,0,0,4,0,4,2,0,42,56,Unusable
Austin Wells,669224,234.46,2025-04-28,1,1,0,2,1,0,2,3,0,42,69,Unusable
Austin Wells,669224,234.46,2025-06-02,3,1,0,1,1,0,3,4,0,42,57,Unusable
Austin Wells,669224,234.46,2025-06-30,1,1,0,2,1,0,2,3,0,42,55,Unusable
Austin Wells,669224,234.46,2025-07-07,3,1,0,1,1,0,2,5,0,42,59,Unusable
Ryan Mountcastle,663624,234.73,2025-03-31,7,1,0,0,1,0,5,1,0,42,58,Unusable
Ryan Mountcastle,663624,234.73,2025-08-18,9,0,0,0,1,0,1,5,0,42,63,Unusable
Joey Ortiz,687401,237.06,2025-05-19,4,0,0,1,3,1,1,1,1,42,64,Unusable
Spencer Torkelson,679529,237.98,2025-06-23,4,1,0,1,1,1,3,1,0,42,59,Unusable
Jacob Wilson,805779,238.09,2025-04-07,6,2,0,0,0,0,5,1,0,42,49,Unusable
Jacob Wilson,805779,238.09,2025-04-14,6,2,0,0,0,0,2,2,1,42,63,Unusable
Gavin Lux,666158,238.36,2025-06-23,3,1,0,1,1,0,3,4,0,42,59,Unusable
Willi Castro,650489,239.25,2025-05-12,2,1,0,1,2,0,4,1,1,42,58,Unusable
Francisco Alvarez,682626,239.35,2025-06-02,5,1,0,1,1,0,1,3,0,42,57,Unusable
DJ LeMahieu,518934,239.58,2025-06-02,4,0,0,1,2,0,3,4,0,42,57,Unusable
Maikel Garcia,672580,239.72,2025-05-26,5,1,1,0,1,0,5,0,0,42,60,Unusable
Jeff McNeil,643446,239.75,2025-07-28,4,1,0,0,4,0,3,1,1,42,71,Unusable
Miguel Rojas,500743,239.78,2025-08-18,6,1,0,0,2,0,2,4,0,42,63,Unusable
Tyler Stephenson,663886,239.91,2025-09-08,1,0,0,2,1,0,3,5,0,42,54,Unusable
Caleb Durbin,702332,239.92,2025-08-11,2,1,0,1,0,2,5,2,0,42,59,Unusable
Caleb Durbin,702332,239.92,2025-09-01,3,0,0,1,2,1,2,1,2,42,76,Unusable
Nick Gonzales,693304,239.92,2025-08-25,5,2,0,0,1,0,3,3,0,42,59,Unusable
Nolan Gorman,669357,239.92,2025-08-11,1,1,0,1,5,0,2,2,0,42,59,Unusable
Nolan Gorman,669357,239.92,2025-08-25,1,1,0,1,3,0,3,4,0,42,59,Unusable
Geraldo Perdomo,672695,240,2025-05-05,5,2,0,0,3,0,2,1,0,42,66,Unusable
Nick Kurtz,701762,NA,2025-08-25,3,0,0,1,3,0,5,2,0,42,59,Unusable
Gabriel Moreno,672515,NA,2025-09-15,5,1,0,0,5,0,2,1,0,42,56,Unusable
Gabriel Arias,672356,NA,2025-08-11,0,1,0,1,1,1,3,5,1,42,59,Unusable
Ernie Clement,676391,NA,2025-09-22,3,2,0,0,1,0,4,3,1,42,47,IF4
Zach McKinstry,656716,NA,2025-06-09,3,0,2,0,1,0,3,0,2,42,69,Unusable
Zach McKinstry,656716,NA,2025-08-04,3,2,0,1,1,0,2,2,0,42,57,Unusable
Lenyn Sosa,672820,NA,2025-06-16,3,2,1,0,1,0,5,0,0,42,63,Unusable
Adrian Del Castillo,680728,NA,2025-08-11,1,2,0,1,2,1,1,3,0,42,59,Unusable
Ronny Mauricio,677595,NA,2025-06-23,4,1,0,1,2,0,2,2,0,42,59,Unusable
Jose Trevino,624431,NA,2025-03-31,3,1,0,1,1,0,5,2,0,42,58,Unusable
Elly De La Cruz,682829,5.23,2025-08-25,3,2,1,0,0,0,4,0,1,41,63,Unusable
Gunnar Henderson,683002,12.24,2025-08-25,5,1,0,0,1,1,3,2,1,41,63,Unusable
Matt Olson,621566,21.79,2025-07-28,4,2,0,0,1,0,4,3,0,41,74,Unusable
Bryce Harper,547180,27.32,2025-03-31,4,2,0,0,3,0,2,2,0,41,60,Unusable
Austin Riley,663586,30.75,2025-06-16,3,0,0,1,2,0,4,4,0,41,65,Unusable
Rafael Devers,646240,35.39,2025-09-08,1,1,0,0,6,0,5,2,0,41,56,Unusable
Ketel Marte,606466,37.6,2025-03-24,4,2,0,0,3,0,4,0,0,41,19,IF2
Corey Seager,608369,43.68,2025-07-28,3,0,0,1,4,0,3,2,0,41,74,Unusable
Junior Caminero,691406,65.87,2025-07-07,3,0,0,2,0,0,3,3,0,41,63,Unusable
Junior Caminero,691406,65.87,2025-07-21,4,0,0,1,2,1,2,3,0,41,67,Unusable
Willy Adames,642715,76.34,2025-08-04,3,0,0,1,4,0,3,2,0,41,59,Unusable
Matt McLain,680574,91.6,2025-06-30,3,2,0,0,2,0,2,3,1,41,57,Unusable
Triston Casas,671213,99,2025-03-31,2,2,0,1,1,0,3,2,0,41,60,Unusable
Jordan Westburg,676059,108.66,2025-06-30,2,0,0,2,0,1,3,3,0,41,57,Unusable
Ezequiel Tovar,678662,111.22,2025-09-22,3,0,1,1,0,0,1,6,0,41,49,Unusable
Paul Goldschmidt,502671,117.94,2025-09-15,5,1,0,0,2,2,3,1,0,41,58,Unusable
Dansby Swanson,621020,124.49,2025-08-18,1,3,0,0,3,1,3,1,0,41,68,Unusable
Vinnie Pasquantino,686469,131.56,2025-03-24,0,1,1,1,2,1,1,3,0,41,19,IF2
Vinnie Pasquantino,686469,131.56,2025-05-26,6,0,0,0,4,1,3,1,0,41,63,Unusable
Anthony Volpe,683011,135.32,2025-04-14,3,2,0,0,2,0,1,2,2,41,64,Unusable
Anthony Volpe,683011,135.32,2025-07-21,2,0,0,2,0,1,2,2,1,41,67,Unusable
Michael Toglia,669911,138.78,2025-05-12,3,1,0,1,2,0,3,2,0,41,61,Unusable
Max Muncy,571970,161.48,2025-06-09,4,1,0,0,5,0,4,0,0,41,73,Unusable
Max Muncy,571970,161.48,2025-09-15,1,0,0,2,1,1,3,3,0,41,58,Unusable
Jonathan India,663697,164.42,2025-03-31,4,2,0,0,3,0,2,2,0,41,60,Unusable
Masyn Winn,691026,166.08,2025-04-21,3,2,0,0,1,1,3,2,1,41,52,Unusable
Masyn Winn,691026,166.08,2025-08-04,3,1,0,1,2,0,2,1,1,41,59,Unusable
Royce Lewis,668904,168.33,2025-08-25,4,0,0,1,1,0,2,4,1,41,63,Unusable
Luis Arraez,650333,168.81,2025-06-02,3,2,0,0,2,0,2,3,1,41,61,Unusable
Jeremy Pena,665161,180.02,2025-08-25,5,2,0,0,2,0,2,0,1,41,63,Unusable
Willson Contreras,575929,182.14,2025-05-12,2,3,0,0,1,0,4,3,0,41,61,Unusable
Willson Contreras,575929,182.14,2025-08-25,2,0,0,1,1,2,4,4,0,41,63,Unusable
Nathaniel Lowe,663993,192.46,2025-03-31,1,2,0,1,2,0,2,3,0,41,60,Unusable
Nathaniel Lowe,663993,192.46,2025-05-12,1,1,0,1,2,0,4,4,0,41,61,Unusable
