player_name,mlbid,final_adp,week,x1b,x2b,x3b,hr,bb,hbp,r,rbi,sb,ud_points,week_rank,rank_group
Alejandro Kirk,672386,NA,2025-03-24,2,0,0,0,0,0,1,1,0,10,118,Unusable
Martin Maldonado,455117,NA,2025-07-14,0,1,0,0,0,0,1,1,0,10,104,Unusable
Austin Hedges,595978,NA,2025-07-14,1,0,0,0,0,1,1,1,0,10,104,Unusable
Luis Torrens,620443,NA,2025-06-02,1,0,0,0,0,1,0,2,0,10,153,Unusable
Max Schuemann,680474,NA,2025-06-23,1,0,0,0,1,0,0,0,1,10,143,Unusable
Max Schuemann,680474,NA,2025-09-22,0,0,0,0,2,0,1,1,0,10,143,Unusable
Kyle Farmer,571657,NA,2025-03-24,2,0,0,0,0,0,0,2,0,10,118,Unusable
Kyle Farmer,571657,NA,2025-07-21,2,0,0,0,0,0,1,1,0,10,139,Unusable
Gio Urshela,570482,NA,2025-07-07,2,0,0,0,0,0,1,1,0,10,141,Unusable
Pedro Pages,686780,NA,2025-05-12,2,0,0,0,0,0,0,2,0,10,153,Unusable
Pedro Pages,686780,NA,2025-07-07,2,0,0,0,0,0,0,2,0,10,141,Unusable
Pedro Pages,686780,NA,2025-07-14,2,0,0,0,0,0,1,1,0,10,104,Unusable
Thomas Saggese,695336,NA,2025-07-07,1,0,0,0,1,0,1,1,0,10,141,Unusable
Jose Trevino,624431,NA,2025-04-07,2,0,0,0,0,0,0,2,0,10,152,Unusable
Alex Bregman,608324,60.11,2025-07-07,1,1,0,0,0,0,0,0,0,9,146,Unusable
Christian Walker,572233,74.01,2025-07-07,1,0,0,0,0,0,1,2,0,9,146,Unusable
Jake Burger,669394,115.47,2025-08-04,1,1,0,0,0,0,0,0,0,9,150,Unusable
Anthony Volpe,683011,135.32,2025-09-01,1,1,0,0,0,0,0,0,0,9,144,Unusable
Michael Toglia,669911,138.78,2025-07-14,0,1,0,0,1,0,0,0,0,9,108,Unusable
Gleyber Torres,650402,147.51,2025-09-22,3,0,0,0,0,0,0,0,0,9,146,Unusable
Jeremy Pena,665161,180.02,2025-07-28,3,0,0,0,0,0,0,0,0,9,153,Unusable
Matt Shaw,807713,227.33,2025-06-09,2,0,0,0,1,0,0,0,0,9,155,Unusable
Andres Gimenez,665926,231.93,2025-09-01,3,0,0,0,0,0,0,0,0,9,144,Unusable
Tyler Fitzgerald,666149,237.85,2025-08-18,1,0,0,0,2,0,0,0,0,9,148,Unusable
Josh Bell,605137,238,2025-05-05,0,1,0,0,1,0,0,0,0,9,159,Unusable
Josh Bell,605137,238,2025-07-14,2,0,0,0,0,1,0,0,0,9,108,Unusable
Tyler Soderstrom,691016,238.1,2025-07-14,1,0,0,0,0,0,1,0,1,9,108,Unusable
Christopher Morel,666624,238.29,2025-04-28,2,0,0,0,0,1,0,0,0,9,158,Unusable
Logan O'Hoppe,681351,238.67,2025-04-14,2,0,0,0,1,0,0,0,0,9,154,Unusable
